Step_Name,Cleaned_Operation
菌检 TM-001,菌检
装 配,装 配
装箱,装箱
装箱 WI-040,装箱
装箱WI-040,装箱
装箱检验,装箱检验
装箱检验 PII-Q00011,装箱检验
装箱检验PII-Q00011,装箱检验
装配,装配
装配  WI-ED-012,装配
装配 PS-M046780C001-30,装配
装配/注塑（外协）,装配/注塑(外协)
装配/注塑（外协）检验,装配/注塑(外协)检验
装配_打标,装配_打标
装配检验,装配检验
贴标签,贴标签
车,车削
车(中心),车削中心
车(中心) WI-120,车削中心
车(中心)WI-308,车削中心
车(中心)检验,车削中心检验
车(中心)检验 PII-G32802000-S,车削中心检验
车(中心)检验 PII-G36100500-01,车削中心检验
车(数),数控车
车(数)WI-117,数控车
车(数)检验,数控车检验
车(数)检验 详细参见检验指导书,数控车检验 详细参见检验指导书
车(普),普通车削
车(普)WI-045,普通车削
车(普)检验,普通车削检验
车(普)检验 详细参见检验指导书,普通车削检验 详细参见检验指导书
车(纵切),纵切车
车(纵切) PS-36432000-02-10,纵切车
车(纵切) PS-36432000-03-10,纵切车
车(纵切) PS-36432000-04-10,纵切车
车(纵切) WI-087,纵切车
车(纵切) WI-089,纵切车
车(纵切)-可外协,纵切车-可(外协)
车(纵切)WI-087,纵切车
车(纵切)检验,纵切车检验
车(纵切)检验 PII-G36432000-02,纵切车检验
车(纵切)检验 PII-G36432000-03,纵切车检验
车(纵切)检验 PII-G36432000-04,纵切车检验
车(纵切)检验 PII-G36471100A,纵切车检验
车(纵切)检验 PII-G39667000-10,纵切车检验
车(纵切)检验 详细参见检验指导书,纵切车检验 详细参见检验指导书
车(纵切）WI-087,纵切车
车中心,车中心
车中心检验,车中心检验
车削,车削
车削(可外协),车削(外协)
车削中心,车削中心
车削（可外协）,车削(外协)
车纵切WI-087,车纵切
车（中心） PS-36432100-01-20,车削中心
车（中心） WI-120,车削中心
车（中心）WI-120,车削中心
车（中心）检验 PII-G133104146R-S,车削中心检验
车（中心）检验 PII-G32802000-H PS工艺,车削中心检验 PS工艺
车（中心）检验 PII-G36431000-01,车削中心检验
车（中心）检验 PII-G36432100-01,车削中心检验
车（中心）检验 PII-G39590900-H PS工艺,车削中心检验 PS工艺
