分类         ,Material Number    ,CFN                ,Group    ,Ver. ,Plant ,Operation/activity ,Operation description ,OEE  ,调试时间   ,备注
器械         ,00721902458590     ,9560432            ,50210357 ,PV01 , 1303 ,                10 ,车削（可外协）               ,0.0  , 360.0 ,
器械         ,00721902468810     ,8361025            ,50210035 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00721902569098     ,8572102            ,50210105 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00721902744600     ,8110530            ,50209994 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00721902798443     ,3280040            ,50269629 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00721902798450     ,3280041            ,50269630 ,PV01 , 1303 ,                20 ,数控铣                   ,0.3  ,   1.0 ,
器械         ,00721902798481     ,3280044            ,50269631 ,PV01 , 1303 ,                20 ,数控铣                   ,0.3  ,   1.0 ,
器械         ,00721902989636     ,9790913            ,50210783 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00763000216726     ,6550039            ,50209221 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00763000216726     ,6550039            ,50209221 ,PV01 , 1303 ,                30 ,数控铣                   ,0.75 ,   4.0 ,
器械         ,00763000216726     ,6550039            ,50209221 ,PV01 , 1303 ,                60 ,线切割                   ,0.83 ,   2.0 ,
器械         ,00763000216740     ,6550041            ,50209225 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00763000216740     ,6550041            ,50209225 ,PV01 , 1303 ,                30 ,数控铣                   ,0.75 ,   4.0 ,
器械         ,00763000216740     ,6550041            ,50209225 ,PV01 , 1303 ,                60 ,线切割                   ,0.83 ,   2.0 ,
器械         ,00763000253561     ,6061003            ,50208216 ,PV01 , 1303 ,                30 ,车削（可外协）               ,0.0  , 750.0 ,
器械         ,00763000253578     ,6061004            ,50208224 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
